Customer Index,SHAP Sum,Feature,Feature Value,SHAP Value
2792,20.587792424506734,age,0.4728571344284556,0.06827539307690517
2792,20.587792424506734,balance_cash,3.3186111049184364,0.05618261972988891
2792,20.587792424506734,balance_investment,-0.1747993190532104,-0.04402014160757391
2792,20.587792424506734,balance_pension,-0.2805115249462839,0.044187232042204254
2792,20.587792424506734,balance_3a,0.4272084427415765,0.0005064667580321834
2792,20.587792424506734,app_logins,-0.1313082303193551,0.022847813832085766
2792,20.587792424506734,income,-1.460724510462719,-0.9809769365501854
2792,20.587792424506734,has_twint,-1.5456558751902785,0.15257020494298257
2792,20.587792424506734,has_credit_card,-0.4392504325931926,0.01940572845159503
2792,20.587792424506734,has_partner_account,1.7875443170211711,-0.3631884865605093
2792,20.587792424506734,account_trx_ls_amount,-0.7205068371287867,-0.06255476027302757
2792,20.587792424506734,card_trx_ls_amount,0.0481216708490227,-0.03971026505228299
2792,20.587792424506734,investment_risk_score,-0.2729566417829808,0.00875961283990171
2792,20.587792424506734,vermoegenszuwachs_3mo,4.355081139974671,2.54742493322112
2792,20.587792424506734,vermoegenszuwachs_6mo,3.1958496870017123,-1.6859275678959382
2792,20.587792424506734,ID,-1.4009084890365635,14.128901761899673
2792,20.587792424506734,residence_status_b,False,-0.1572244297481106
2792,20.587792424506734,residence_status_c,False,-0.1415506408848142
2792,20.587792424506734,residence_status_ch,True,0.06166493483538539
2792,20.587792424506734,residence_status_l,False,-0.001805505576781307
2792,20.587792424506734,residence_status_s,False,0.00010698872773831774
